Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/bookings/checkout-start,4253,0,93,100.95482240437146,86.34255899960408,646.1061520021758,159.0,23.705512230907495,0.0,93,94,95,96,100,130,230,320,540,650,650
,Aggregated,4253,0,93,100.95482240437146,86.34255899960408,646.1061520021758,159.0,23.705512230907495,0.0,93,94,95,96,100,130,230,320,540,650,650
