Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/bookings/checkout-start,856,0,91,95.30482700696344,85.71011900130543,383.70242200107896,159.0,4.778574536303781,0.0,91,92,93,93,96,110,170,200,380,380,380
,Aggregated,856,0,91,95.30482700696344,85.71011900130543,383.70242200107896,159.0,4.778574536303781,0.0,91,92,93,93,96,110,170,200,380,380,380
