Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/bookings/checkout-start,8420,121,94,120.47657617389082,86.05732900105068,1393.517955999414,157.23242280285035,46.9244241237545,0.6743296103294886,94,96,98,100,110,260,620,730,1100,1400,1400
,Aggregated,8420,121,94,120.47657617389082,86.05732900105068,1393.517955999414,157.23242280285035,46.9244241237545,0.6743296103294886,94,96,98,100,110,260,620,730,1100,1400,1400
