Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/bookings/checkout-start,2114,0,92,97.78731455531333,84.70536599998013,381.85263800187386,159.0,11.790682411931314,0.0,92,93,94,95,97,120,200,240,380,380,380
,Aggregated,2114,0,92,97.78731455531333,84.70536599998013,381.85263800187386,159.0,11.790682411931314,0.0,92,93,94,95,97,120,200,240,380,380,380
